dimension,case,mesh_level,element_count,Nu,f,eta,Tmax,Tavg,pressure_drop,thermal_resistance,relative_to_fine_percent,status
2D,baseline,G3,43668,16.064036,0.034127,1,,343.091618,0.511908,,,真实 COMSOL 求解；mesh_hauto=4; local_size=True
2D,DE_optimum,G3,44455,17.330959,0.035262,1.06716519,,350.697776,0.528931,,,真实 COMSOL 求解；mesh_hauto=4; local_size=True
2D,baseline,G4,57736,13.47097,0.030878,1,,351.070652,0.463169,,21.070122,未通过：Nug4/g5误差=21.070%<= 2%; fg4/g5误差=14.329%<= 3%
2D,DE_optimum,G4,61496,13.579919,0.029872,1.01927944,,363.92662,0.448086,,16.006319,未通过：Nug4/g5误差=16.006%<= 2%; fg4/g5误差=11.730%<= 3%
2D,baseline,G5,80498,11.126585,0.027008,1,,361.377869,0.405123,,21.070122,未通过：Nug4/g5误差=21.070%<= 2%; fg4/g5误差=14.329%<= 3%
2D,DE_optimum,G5,88638,11.706189,0.026736,1.05564762,,374.241575,0.401036,,16.006319,未通过：Nug4/g5误差=16.006%<= 2%; fg4/g5误差=11.730%<= 3%
3D,baseline,coarse,,42.58287581670081,3.340343431993179,1.0,374.6697132857645,373.43587438574497,0.017536803017964196,80.28587438574499,,真实 COMSOL 求解；mesh-hauto=6; mesh-scale=1.0
3D,chip_mlp_cnn_de_multiloss_e10,coarse,,44.02735320435597,3.0321063515941167,1.0678325453928577,372.074910950163,370.80180438930336,0.015918558345869117,77.65180438930338,,真实 COMSOL 求解；mesh-hauto=6; mesh-scale=1.0
3D,baseline,medium,,39.72984480163116,2.5818406177419426,1.0,380.45711778952443,379.2012653868473,0.013554663243145202,86.05126538684732,13.385081,未通过：Tmaxmedium/fine误差=0.632%<= 1%; pressure_dropmedium/fine误差=13.385%<= 5%
3D,chip_mlp_cnn_de_multiloss_e10,medium,,41.43326205987507,2.4815994867557367,1.056731948315334,376.96965246656845,375.66349878903856,0.013028397305467622,82.51349878903858,8.062969,未通过：Tmaxmedium/fine误差=0.315%<= 1%; pressure_dropmedium/fine误差=8.063%<= 5%
3D,baseline,fine,,38.658981740383794,2.2770549700700013,1.0,382.8756962970968,381.5849060656215,0.011954538592867511,88.43490606562153,13.385081,未通过：Tmaxmedium/fine误差=0.632%<= 1%; pressure_dropmedium/fine误差=13.385%<= 5%
3D,chip_mlp_cnn_de_multiloss_e10,fine,,40.81007439769387,2.2964383631418053,1.0526642719732344,378.15929910415525,376.9235159580256,0.012056301406494482,83.7735159580256,8.062969,未通过：Tmaxmedium/fine误差=0.315%<= 1%; pressure_dropmedium/fine误差=8.063%<= 5%
2D,DE_optimum,formal,,46.022427,0.106658,1.4478951556247979,,,1.5998660000000005,,,已有正式网格复算；粗/中/细网格对照见上表
3D,baseline,formal,,39.729844834578415,2.5818406232392968,1.0,380.45711771813336,379.2012653154865,0.013554663272006311,86.05126531548655,,已有正式三维迁移结果；粗/中/细网格对照见上表
3D,chip_mlp_cnn_de_multiloss_e10,formal,,41.433262040162425,2.4815994853201295,1.05673194789003,376.96965250562715,375.6634988282959,0.013028397297930684,82.5134988282959,,已有正式三维迁移结果；粗/中/细网格对照见上表
