target,parameter,rf_impurity_importance,rf_permutation_importance
Nu,Ta,0.009501856911622232,0.00805083368319388
Nu,Twa,0.006148777796753603,0.004168475320490702
Nu,Tb,0.21536895673795775,0.37317552203858567
Nu,Ts,0.5330678504287134,0.946938130266349
Nu,Tt,0.14583344904220966,0.24522865638539817
Nu,Tad,0.005769901056857264,0.003717580565232799
Nu,theta,0.084309208025886,0.1582084871973055
f,Ta,0.01456273423694938,0.013156613306027843
f,Twa,0.007336516309365321,0.0052025276232999275
f,Tb,0.26650605466670735,0.5240463335002328
f,Ts,0.06162554145361664,0.09648544380961563
f,Tt,0.41784233450426633,0.7223067511506508
f,Tad,0.011671561310357903,0.011773615160279876
f,theta,0.220455257518737,0.41764555410750526
eta,Ta,0.008472251441910123,0.00664857127903488
eta,Twa,0.0072376329113149,0.005573282559718296
eta,Tb,0.07897696028684834,0.1478257934366658
eta,Ts,0.7249957211686553,1.3616276106409637
eta,Tt,0.04037703360954275,0.06697515086894643
eta,Tad,0.012897497102475964,0.013576823101260013
eta,theta,0.12704290347925246,0.2314644694584499
