generation,best_eta
1.000000000000000000e+00,1.344706499456036042e+00
2.000000000000000000e+00,1.402284629977045949e+00
3.000000000000000000e+00,1.409097438782293432e+00
4.000000000000000000e+00,1.416277432455999463e+00
5.000000000000000000e+00,1.416277432455999463e+00
6.000000000000000000e+00,1.423071439404341110e+00
7.000000000000000000e+00,1.423071439404341110e+00
8.000000000000000000e+00,1.429257317349908574e+00
9.000000000000000000e+00,1.435391112584778694e+00
1.000000000000000000e+01,1.435391112584778694e+00
1.100000000000000000e+01,1.438485968196491660e+00
1.200000000000000000e+01,1.441928603811185594e+00
1.300000000000000000e+01,1.441928603811185594e+00
1.400000000000000000e+01,1.441928603811185594e+00
1.500000000000000000e+01,1.441928603811185594e+00
1.600000000000000000e+01,1.441928603811185594e+00
1.700000000000000000e+01,1.441928603811185594e+00
1.800000000000000000e+01,1.441928603811185594e+00
1.900000000000000000e+01,1.441928603811185594e+00
2.000000000000000000e+01,1.441928603811185594e+00
2.100000000000000000e+01,1.441928603811185594e+00
2.200000000000000000e+01,1.443705028021316172e+00
2.300000000000000000e+01,1.443705028021316172e+00
2.400000000000000000e+01,1.443705028021316172e+00
2.500000000000000000e+01,1.443705028021316172e+00
2.600000000000000000e+01,1.443705028021316172e+00
2.700000000000000000e+01,1.443705028021316172e+00
2.800000000000000000e+01,1.443984974769131346e+00
2.900000000000000000e+01,1.443984974769131346e+00
3.000000000000000000e+01,1.443984974769131346e+00
