generation,best_eta
1.000000000000000000e+00,1.382290496526257906e+00
2.000000000000000000e+00,1.382290496526257906e+00
3.000000000000000000e+00,1.389246449764993896e+00
4.000000000000000000e+00,1.402773823486877625e+00
5.000000000000000000e+00,1.417400869489019888e+00
6.000000000000000000e+00,1.419144077989769492e+00
7.000000000000000000e+00,1.419144077989769492e+00
8.000000000000000000e+00,1.419144077989769492e+00
9.000000000000000000e+00,1.424044493628861874e+00
1.000000000000000000e+01,1.424044493628861874e+00
1.100000000000000000e+01,1.430918176465963754e+00
1.200000000000000000e+01,1.430918176465963754e+00
1.300000000000000000e+01,1.430918176465963754e+00
1.400000000000000000e+01,1.433034316542434849e+00
1.500000000000000000e+01,1.433034316542434849e+00
1.600000000000000000e+01,1.433034316542434849e+00
1.700000000000000000e+01,1.433034316542434849e+00
1.800000000000000000e+01,1.433058083737559718e+00
1.900000000000000000e+01,1.433288568584143663e+00
2.000000000000000000e+01,1.433288568584143663e+00
2.100000000000000000e+01,1.433288568584143663e+00
2.200000000000000000e+01,1.433288568584143663e+00
2.300000000000000000e+01,1.433288568584143663e+00
2.400000000000000000e+01,1.433288568584143663e+00
2.500000000000000000e+01,1.433291008469355532e+00
2.600000000000000000e+01,1.433503058614748360e+00
2.700000000000000000e+01,1.433571509869985050e+00
2.800000000000000000e+01,1.433571509869985050e+00
2.900000000000000000e+01,1.433571509869985050e+00
3.000000000000000000e+01,1.433571509869985050e+00
