generation,best_eta
1,1.3725840619579854
2,1.3725840619579854
3,1.3725840619579854
4,1.3767294720768846
5,1.3962610207051278
6,1.3962610207051278
7,1.4182187889235236
8,1.4182187889235236
9,1.4182187889235236
10,1.4182187889235236
11,1.4230862065640624
12,1.424482004402714
13,1.424482004402714
14,1.424482004402714
15,1.4253769787186472
16,1.4253769787186472
17,1.4261921182672876
18,1.4261921182672876
19,1.4261921182672876
20,1.426672997250593
21,1.426672997250593
22,1.4276029083991935
23,1.4276029083991935
24,1.4287401125114567
25,1.4287401125114567
26,1.4287401125114567
27,1.4287401125114567
28,1.4298599064502557
29,1.430444964583372
30,1.430444964583372
