generation,best_eta
1,0.9341632389981184
2,0.9341632389981184
3,0.957205913175572
4,0.957205913175572
5,0.9627577703608389
6,0.9775105326055916
7,0.9965652726321087
8,0.9965652726321087
9,0.9965652726321087
10,1.0040702790690994
11,1.0040702790690994
12,1.0040702790690994
13,1.0040702790690994
14,1.0140190867685206
15,1.0140190867685206
16,1.0140190867685206
17,1.0140190867685206
18,1.0140190867685206
19,1.0140190867685206
20,1.0215638652922214
21,1.0215638652922214
22,1.0215638652922214
23,1.0215638652922214
24,1.0215638652922214
25,1.0215638652922214
26,1.0215638652922214
27,1.0215638652922214
28,1.0215638652922214
29,1.0215638652922214
30,1.0215638652922214
