split,row_index,case_id
train,978,30479
train,933,30434
train,859,30360
train,916,30417
train,127,20128
train,608,30109
train,856,30357
train,260,20261
train,147,20148
train,810,30311
train,635,30136
train,972,30473
train,593,30094
train,994,30495
train,285,20286
train,554,30055
train,467,20468
train,276,20277
train,55,20056
train,61,20062
train,839,30340
train,425,20426
train,82,20083
train,620,30121
train,787,30288
train,2,20003
train,753,30254
train,7,20008
train,903,30404
train,626,30127
train,51,20052
train,557,30058
train,310,20311
train,100,20101
train,848,30349
train,921,30422
train,45,20046
train,976,30477
train,136,20137
train,128,20129
train,605,30106
train,945,30446
train,773,30274
train,941,30442
train,613,30114
train,98,20099
train,758,30259
train,595,30096
train,470,20471
train,25,20026
train,514,30015
train,239,20240
train,980,30481
train,623,30124
train,252,20253
train,662,30163
train,171,20172
train,408,20409
train,993,30494
train,592,30093
train,701,30202
train,427,20428
train,457,20458
train,454,20455
train,151,20152
train,756,30257
train,250,20251
train,904,30405
train,324,20325
train,439,20440
train,650,30151
train,238,20239
train,498,20499
train,806,30307
train,629,30130
train,468,20469
train,343,20344
train,664,30165
train,671,30172
train,652,30153
train,346,20347
train,381,20382
train,493,20494
train,708,30209
train,513,30014
train,563,30064
train,857,30358
train,781,30282
train,135,20136
train,232,20233
train,931,30432
train,426,20427
train,660,30161
train,995,30496
train,36,20037
train,545,30046
train,116,20117
train,434,20435
train,390,20391
train,751,30252
train,797,30298
train,180,20181
train,152,20153
train,38,20039
train,946,30447
train,710,30211
train,789,30290
train,558,30059
train,142,20143
train,166,20167
train,990,30491
train,83,20084
train,914,30415
train,230,20231
train,885,30386
train,413,20414
train,125,20126
train,726,30227
train,865,30366
train,638,30139
train,96,20097
train,764,30265
train,79,20080
train,579,30080
train,421,20422
train,179,20180
train,248,20249
train,889,30390
train,771,30272
train,435,20436
train,860,30361
train,582,30083
train,302,20303
train,987,30488
train,131,20132
train,199,20200
train,996,30497
train,898,30399
train,934,30435
train,900,30401
train,150,20151
train,143,20144
train,703,30204
train,474,20475
train,371,20372
train,551,30052
train,222,20223
train,835,30336
train,306,20307
train,750,30251
train,963,30464
train,340,20341
train,767,30268
train,830,30331
train,896,30397
train,387,20388
train,66,20067
train,297,20298
train,881,30382
train,814,30315
train,892,30393
train,724,30225
train,991,30492
train,193,20194
train,253,20254
train,236,20237
train,891,30392
train,674,30175
train,746,30247
train,315,20316
train,129,20130
train,21,20022
train,673,30174
train,373,20374
train,598,30099
train,853,30354
train,130,20131
train,544,30045
train,35,20036
train,867,30368
train,203,20204
train,86,20087
train,146,20147
train,433,20434
train,224,20225
train,218,20219
train,960,30461
train,417,20418
train,697,30198
train,552,30053
train,88,20089
train,624,30125
train,445,20446
train,268,20269
train,6,20007
train,630,30131
train,805,30306
train,197,20198
train,950,30451
train,11,20012
train,911,30412
train,356,20357
train,388,20389
train,281,20282
train,511,30012
train,120,20121
train,115,20116
train,29,20030
train,367,20368
train,307,20308
train,206,20207
train,9,20010
train,319,20320
train,185,20186
train,808,30309
train,91,20092
train,836,30337
train,815,30316
train,479,20480
train,154,20155
train,126,20127
train,909,30410
train,455,20456
train,363,20364
train,424,20425
train,278,20279
train,567,30068
train,43,20044
train,243,20244
train,321,20322
train,883,30384
train,304,20305
train,717,30218
train,231,20232
train,550,30051
train,818,30319
train,776,30277
train,328,20329
train,350,20351
train,849,30350
train,201,20202
train,368,20369
train,935,30436
train,107,20108
train,273,20274
train,331,20332
train,409,20410
train,631,30132
train,245,20246
train,783,30284
train,448,20449
train,888,30389
train,169,20170
train,612,30113
train,30,20031
train,542,30043
train,646,30147
train,813,30314
train,241,20242
train,395,20396
train,119,20120
train,678,30179
train,902,30403
train,360,20361
train,645,30146
train,614,30115
train,532,30033
train,799,30300
train,712,30213
train,527,30028
train,657,30158
train,581,30082
train,429,20430
train,562,30063
train,793,30294
train,0,20001
train,677,30178
train,156,20157
train,28,20029
train,768,30269
train,762,30263
train,588,30089
train,570,30071
train,501,30002
train,944,30445
train,584,30085
train,274,20275
train,887,30388
train,101,20102
train,71,20072
train,464,20465
train,77,20078
train,940,30441
train,937,30438
train,512,30013
train,352,20353
train,693,30194
train,92,20093
train,394,20395
train,259,20260
train,868,30369
train,798,30299
train,164,20165
train,244,20245
train,829,30330
train,684,30185
train,796,30297
train,444,20445
train,354,20355
train,775,30276
train,330,20331
train,382,20383
train,62,20063
train,878,30379
train,842,30343
train,344,20345
train,745,30246
train,336,20337
train,44,20045
train,163,20164
train,890,30391
train,936,30437
train,153,20154
train,219,20220
train,213,20214
train,591,30092
train,12,20013
train,56,20057
train,133,20134
train,572,30073
train,305,20306
train,955,30456
train,785,30286
train,334,20335
train,288,20289
train,326,20327
train,225,20226
train,707,30208
train,576,30077
train,380,20381
train,998,30499
train,803,30304
train,420,20421
train,299,20300
train,447,20448
train,875,30376
train,788,30289
train,872,30373
train,402,20403
train,536,30037
train,761,30262
train,312,20313
train,204,20205
train,217,20218
train,48,20049
train,695,30196
train,496,20497
train,14,20015
train,833,30334
train,616,30117
train,659,30160
train,379,20380
train,176,20177
train,539,30040
train,173,20174
train,666,30167
train,556,30057
train,546,30047
train,983,30484
train,691,30192
train,159,20160
train,50,20051
train,8,20009
train,541,30042
train,298,20299
train,365,20366
train,198,20199
train,60,20061
train,361,20362
train,289,20290
train,975,30476
train,905,30406
train,817,30318
train,748,30249
train,565,30066
train,734,30235
train,237,20238
train,774,30275
train,894,30395
train,988,30489
train,825,30326
train,20,20021
train,480,20481
train,271,20272
train,476,20477
train,834,30335
train,530,30031
train,780,30281
train,986,30487
train,183,20184
train,140,20141
train,393,20394
train,202,20203
train,725,30226
train,743,30244
train,124,20125
train,951,30452
train,59,20060
train,823,30324
train,716,30217
train,766,30267
train,688,30189
train,690,30191
train,472,20473
train,64,20065
train,234,20235
train,873,30374
train,719,30220
train,585,30086
train,461,20462
train,40,20041
train,977,30478
train,601,30102
train,478,20479
train,589,30090
train,694,30195
train,915,30416
train,132,20133
train,72,20073
train,138,20139
train,121,20122
train,46,20047
train,482,20483
train,184,20185
train,53,20054
train,715,30216
train,33,20034
train,966,30467
train,794,30295
train,26,20027
train,415,20416
train,509,30010
train,772,30273
train,374,20375
train,431,20432
train,742,30243
train,168,20169
train,531,30032
train,399,20400
train,471,20472
train,172,20173
train,269,20270
train,596,30097
train,258,20259
train,731,30232
train,879,30380
train,714,30215
train,144,20145
train,463,20464
train,220,20221
train,740,30241
train,85,20086
train,852,30353
train,704,30205
train,627,30128
train,723,30224
train,807,30308
train,226,20227
train,110,20111
train,869,30370
train,984,30485
train,663,30164
train,561,30062
train,802,30303
train,729,30230
train,952,30453
train,377,20378
train,351,20352
train,174,20175
train,784,30285
train,155,20156
train,795,30296
train,709,30210
train,816,30317
train,964,30465
train,47,20048
train,670,30171
train,400,20401
train,97,20098
train,840,30341
train,778,30279
train,211,20212
train,309,20310
train,619,30120
train,845,30346
train,3,20004
train,971,30472
train,683,30184
train,192,20193
train,406,20407
train,738,30239
train,80,20081
train,744,30245
train,419,20420
train,357,20358
train,644,30145
train,422,20423
train,923,30424
train,929,30430
train,603,30104
train,208,20209
train,345,20346
train,256,20257
train,145,20146
train,854,30355
train,488,20489
train,713,30214
train,90,20091
train,469,20470
train,800,30301
train,441,20442
train,108,20109
train,404,20405
train,338,20339
train,68,20069
train,575,30076
train,741,30242
train,700,30201
train,705,30206
train,728,30229
train,747,30248
train,194,20195
train,925,30426
train,569,30070
train,855,30356
train,58,20059
train,462,20463
train,901,30402
train,261,20262
train,398,20399
train,755,30256
train,871,30372
train,459,20460
train,632,30133
train,647,30148
train,580,30081
train,954,30455
train,235,20236
train,280,20281
train,922,30423
train,618,30119
train,573,30074
train,293,20294
train,538,30039
train,178,20179
train,516,30017
train,680,30181
train,981,30482
train,229,20230
train,353,20354
train,84,20085
train,607,30108
train,668,30169
train,559,30060
train,870,30371
train,686,30187
train,282,20283
train,522,30023
train,438,20439
train,160,20161
train,74,20075
train,733,30234
train,938,30439
train,969,30470
train,200,20201
train,757,30258
train,517,30018
train,754,30255
train,979,30480
train,295,20296
train,423,20424
train,118,20119
train,337,20338
train,985,30486
train,947,30448
train,215,20216
train,924,30425
train,54,20055
train,880,30381
train,737,30238
train,847,30348
train,643,30144
train,765,30266
train,446,20447
train,284,20285
train,897,30398
train,874,30375
train,99,20100
train,139,20140
train,926,30427
train,320,20321
train,246,20247
train,23,20024
train,191,20192
train,505,30006
train,264,20265
train,824,30325
train,465,20466
train,792,30293
train,610,30111
train,636,30137
train,653,30154
train,801,30302
train,520,30021
train,436,20437
train,430,20431
train,262,20263
train,242,20243
train,698,30199
train,822,30323
train,656,30157
train,594,30095
train,907,30408
train,486,20487
train,103,20104
train,414,20415
train,327,20328
train,104,20105
train,844,30345
train,906,30407
train,841,30342
train,443,20444
train,692,30193
train,31,20032
train,676,30177
train,383,20384
train,254,20255
train,17,20018
train,24,20025
train,355,20356
train,679,30180
train,378,20379
train,782,30283
train,769,30270
train,568,30069
train,460,20461
train,19,20020
train,162,20163
train,16,20017
train,899,30400
train,308,20309
train,968,30469
train,495,20496
train,325,20326
train,73,20074
train,75,20076
train,515,30016
train,831,30332
train,997,30498
train,577,30078
train,913,30414
train,958,30459
train,283,20284
train,574,30075
train,456,20457
train,862,30363
train,639,30140
train,466,20467
train,658,30159
train,777,30278
train,739,30240
train,27,20028
train,249,20250
train,292,20293
train,477,20478
train,265,20266
train,819,30320
train,247,20248
train,858,30359
train,228,20229
train,696,30197
train,655,30156
train,876,30377
train,294,20295
train,22,20023
train,210,20211
train,89,20090
train,661,30162
train,148,20149
train,485,20486
train,196,20197
train,682,30183
train,917,30418
train,134,20135
train,524,30025
train,882,30383
train,67,20068
train,494,20495
train,866,30367
train,497,20498
train,989,30490
train,519,30020
train,759,30260
train,625,30126
train,957,30458
train,537,30038
train,604,30105
train,358,20359
train,722,30223
train,489,20490
train,233,20234
train,109,20110
train,930,30431
train,412,20413
train,291,20292
train,181,20182
train,587,30088
train,838,30339
train,405,20406
train,391,20392
train,165,20166
train,449,20450
train,846,30347
train,209,20210
train,401,20402
train,649,30150
train,473,20474
train,149,20150
train,959,30460
train,70,20071
train,255,20256
train,37,20038
train,428,20429
train,886,30387
train,566,30067
train,318,20319
train,681,30182
train,770,30271
train,322,20323
train,727,30228
train,965,30466
train,949,30450
train,158,20159
train,999,30500
train,95,20096
train,348,20349
train,487,20488
train,175,20176
train,341,20342
train,804,30305
val,186,20187
val,920,30421
val,263,20264
val,411,20412
val,257,20258
val,811,30312
val,316,20317
val,251,20252
val,942,30443
val,600,30101
val,506,30007
val,78,20079
val,240,20241
val,760,30261
val,376,20377
val,214,20215
val,549,30050
val,418,20419
val,884,30385
val,270,20271
val,13,20014
val,492,20493
val,161,20162
val,392,20393
val,216,20217
val,207,20208
val,606,30107
val,685,30186
val,112,20113
val,507,30008
