split,row_index,case_id
train,473,20474
train,132,20133
train,472,20473
train,46,20047
train,40,20041
train,232,20233
train,45,20046
train,428,20429
train,326,20327
train,159,20160
train,291,20292
train,235,20236
train,453,20454
train,107,20108
train,367,20368
train,115,20116
train,280,20281
train,357,20358
train,185,20186
train,327,20328
train,53,20054
train,217,20218
train,486,20487
train,51,20052
train,340,20341
train,96,20097
train,376,20377
train,446,20447
train,197,20198
train,245,20246
train,225,20226
train,0,20001
train,249,20250
train,390,20391
train,191,20192
train,464,20465
train,80,20081
train,239,20240
train,55,20056
train,434,20435
train,469,20470
train,378,20379
train,295,20296
train,171,20172
train,20,20021
train,466,20467
train,397,20398
train,496,20497
train,364,20365
train,166,20167
train,489,20490
train,454,20455
train,164,20165
train,174,20175
train,494,20495
train,289,20290
train,144,20145
train,33,20034
train,176,20177
train,145,20146
train,168,20169
train,100,20101
train,253,20254
train,61,20062
train,302,20303
train,138,20139
train,131,20132
train,273,20274
train,468,20469
train,455,20456
train,150,20151
train,135,20136
train,305,20306
train,405,20406
train,307,20308
train,140,20141
train,445,20446
train,83,20084
train,415,20416
train,180,20181
train,265,20266
train,425,20426
train,252,20253
train,321,20322
train,476,20477
train,124,20125
train,330,20331
train,222,20223
train,91,20092
train,151,20152
train,373,20374
train,351,20352
train,44,20045
train,84,20085
train,108,20109
train,184,20185
train,77,20078
train,79,20080
train,193,20194
train,213,20214
train,471,20472
train,243,20244
train,26,20027
train,361,20362
train,2,20003
train,343,20344
train,488,20489
train,304,20305
train,152,20153
train,58,20059
train,72,20073
train,192,20193
train,371,20372
train,318,20319
train,424,20425
train,479,20480
train,399,20400
train,120,20121
train,353,20354
train,285,20286
train,362,20363
train,178,20179
train,247,20248
train,490,20491
train,50,20051
train,448,20449
train,269,20270
train,369,20370
train,411,20412
train,484,20485
train,281,20282
train,293,20294
train,264,20265
train,294,20295
train,377,20378
train,341,20342
train,350,20351
train,284,20285
train,299,20300
train,101,20102
train,246,20247
train,183,20184
train,478,20479
train,211,20212
train,493,20494
train,64,20065
train,438,20439
train,154,20155
train,344,20345
train,230,20231
train,156,20157
train,198,20199
train,370,20371
train,383,20384
train,8,20009
train,475,20476
train,133,20134
train,242,20243
train,282,20283
train,254,20255
train,259,20260
train,82,20083
train,86,20087
train,179,20180
train,315,20316
train,388,20389
train,365,20366
train,261,20262
train,407,20408
train,104,20105
train,358,20359
train,147,20148
train,356,20357
train,447,20448
train,436,20437
train,236,20237
train,283,20284
train,312,20313
train,231,20232
train,427,20428
train,24,20025
train,298,20299
train,389,20390
train,406,20407
train,452,20453
train,319,20320
train,355,20356
train,68,20069
train,288,20289
train,56,20057
train,413,20414
train,19,20020
train,162,20163
train,203,20204
train,204,20205
train,202,20203
train,30,20031
train,60,20061
train,409,20410
train,73,20074
train,345,20346
train,3,20004
train,337,20338
train,498,20499
train,404,20405
train,419,20420
train,262,20263
train,226,20227
train,234,20235
train,118,20119
train,292,20293
train,126,20127
train,346,20347
train,47,20048
train,322,20323
train,200,20201
train,127,20128
train,219,20220
train,146,20147
train,241,20242
train,244,20245
train,27,20028
train,386,20387
train,62,20063
train,418,20419
train,495,20496
train,395,20396
train,435,20436
train,381,20382
train,348,20349
train,172,20173
train,391,20392
train,228,20229
train,256,20257
train,324,20325
train,143,20144
train,271,20272
train,374,20375
train,38,20039
train,414,20415
train,29,20030
train,210,20211
train,238,20239
train,89,20090
train,368,20369
train,98,20099
train,119,20120
train,148,20149
train,258,20259
train,196,20197
train,384,20385
train,485,20486
train,134,20135
train,260,20261
train,12,20013
train,268,20269
train,67,20068
train,417,20418
train,229,20230
train,201,20202
train,410,20411
train,7,20008
train,387,20388
train,487,20488
train,483,20484
train,25,20026
train,92,20093
train,233,20234
train,402,20403
train,181,20182
train,75,20076
train,250,20251
train,354,20355
train,165,20166
train,352,20353
train,457,20458
train,149,20150
train,70,20071
train,255,20256
train,306,20307
train,393,20394
train,54,20055
train,433,20434
train,169,20170
train,460,20461
train,215,20216
train,444,20445
train,450,20451
train,158,20159
train,499,20500
train,459,20460
train,95,20096
train,477,20478
train,334,20335
train,186,20187
train,263,20264
train,257,20258
train,338,20339
train,336,20337
train,443,20444
train,310,20311
train,88,20089
train,379,20380
train,463,20464
train,248,20249
train,214,20215
train,37,20038
train,392,20393
train,270,20271
train,382,20383
train,276,20277
train,161,20162
train,216,20217
train,207,20208
train,331,20332
train,173,20174
train,112,20113
train,18,20019
train,153,20154
train,11,20012
train,421,20422
